Handle	Title	Option1 Name	Option1 Value	Option2 Name	Option2 Value	Option3 Name	Option3 Value	SKU	HS Code	COO	Location	Bin name	Incoming (not editable)	Unavailable (not editable)	Committed (not editable)	Available (not editable)	On hand (current)	On hand (new)
kanjivaram-royal-blue	Kanjivaram Pure Silk Saree - Royal Blue	Size	Free Size	Color	Royal Blue	Blouse	With Blouse	KAN-RB-001	5007	India	Warehouse A	A1-01-001	0	0	2	3	5	5
kanjivaram-royal-blue	Kanjivaram Pure Silk Saree - Royal Blue	Size	Free Size	Color	Royal Blue	Blouse	Without Blouse	KAN-RB-002	5007	India	Warehouse A	A1-01-002	0	0	1	4	5	5
banarasi-maroon-gold	Banarasi Silk Saree - Maroon Gold	Size	Free Size	Color	Maroon	Blouse	With Blouse	BAN-MG-001	5007	India	Warehouse A	A1-02-001	0	0	3	5	8	8
banarasi-maroon-gold	Banarasi Silk Saree - Maroon Gold	Size	Free Size	Color	Maroon	Blouse	Without Blouse	BAN-MG-002	5007	India	Warehouse A	A1-02-002	0	0	1	3	4	4
mysore-emerald-green	Mysore Silk Saree - Emerald Green	Size	Free Size	Color	Green	Blouse	With Blouse	MYS-EG-001	5007	India	Warehouse A	A1-03-001	0	0	2	8	10	10
mysore-emerald-green	Mysore Silk Saree - Emerald Green	Size	Free Size	Color	Green	Blouse	Without Blouse	MYS-EG-002	5007	India	Warehouse A	A1-03-002	0	0	0	5	5	5
handloom-cotton-white	Handloom Cotton Saree - White	Size	Free Size	Color	White	Blouse	With Blouse	HLC-WH-001	5208	India	Warehouse B	B1-01-001	0	0	5	15	20	20
handloom-cotton-white	Handloom Cotton Saree - White	Size	Free Size	Color	White	Blouse	Without Blouse	HLC-WH-002	5208	India	Warehouse B	B1-01-002	0	0	3	12	15	15
designer-georgette-black	Designer Georgette Saree - Black	Size	Free Size	Color	Black	Blouse	With Blouse	DES-BK-001	5407	India	Warehouse A	A1-04-001	0	0	2	6	8	8
designer-georgette-black	Designer Georgette Saree - Black	Size	Free Size	Color	Black	Blouse	Without Blouse	DES-BK-002	5407	India	Warehouse A	A1-04-002	0	0	1	3	4	4
tussar-silk-golden	Tussar Silk Saree - Golden	Size	Free Size	Color	Golden	Blouse	With Blouse	TUS-GD-001	5007	India	Warehouse A	A1-05-001	0	0	1	9	10	10
tussar-silk-golden	Tussar Silk Saree - Golden	Size	Free Size	Color	Golden	Blouse	Without Blouse	TUS-GD-002	5007	India	Warehouse A	A1-05-002	0	0	2	6	8	8
khadi-cotton-beige	Khadi Cotton Saree - Beige	Size	Free Size	Color	Beige	Blouse	With Blouse	KHA-BG-001	5208	India	Warehouse B	B1-02-001	0	0	4	16	20	20
khadi-cotton-beige	Khadi Cotton Saree - Beige	Size	Free Size	Color	Beige	Blouse	Without Blouse	KHA-BG-002	5208	India	Warehouse B	B1-02-002	0	0	2	13	15	15
chiffon-pink-floral	Chiffon Saree - Pink Floral	Size	Free Size	Color	Pink	Blouse	With Blouse	CHF-PF-001	5407	India	Warehouse A	A1-06-001	0	0	3	9	12	12
chiffon-pink-floral	Chiffon Saree - Pink Floral	Size	Free Size	Color	Pink	Blouse	Without Blouse	CHF-PF-002	5407	India	Warehouse A	A1-06-002	0	0	1	7	8	8
net-saree-red	Net Saree - Red Embroidered	Size	Free Size	Color	Red	Blouse	With Blouse	NET-RD-001	5407	India	Warehouse A	A1-07-001	0	0	2	8	10	10
net-saree-red	Net Saree - Red Embroidered	Size	Free Size	Color	Red	Blouse	Without Blouse	NET-RD-002	5407	India	Warehouse A	A1-07-002	0	0	1	4	5	5
pure-silk-navy	Pure Silk Saree - Navy Blue	Size	Free Size	Color	Navy Blue	Blouse	With Blouse	PSK-NV-001	5007	India	Warehouse A	A1-08-001	0	0	3	12	15	15
pure-silk-navy	Pure Silk Saree - Navy Blue	Size	Free Size	Color	Navy Blue	Blouse	Without Blouse	PSK-NV-002	5007	India	Warehouse A	A1-08-002	0	0	2	8	10	10
cotton-printed-yellow	Cotton Printed Saree - Yellow	Size	Free Size	Color	Yellow	Blouse	With Blouse	CTP-YL-001	5208	India	Warehouse B	B1-03-001	0	0	6	19	25	25
cotton-printed-yellow	Cotton Printed Saree - Yellow	Size	Free Size	Color	Yellow	Blouse	Without Blouse	CTP-YL-002	5208	India	Warehouse B	B1-03-002	0	0	4	16	20	20
georgette-purple	Georgette Saree - Purple	Size	Free Size	Color	Purple	Blouse	With Blouse	GEO-PR-001	5407	India	Warehouse A	A1-09-001	0	0	2	10	12	12
georgette-purple	Georgette Saree - Purple	Size	Free Size	Color	Purple	Blouse	Without Blouse	GEO-PR-002	5407	India	Warehouse A	A1-09-002	0	0	1	7	8	8
silk-orange-zari	Silk Saree - Orange with Zari	Size	Free Size	Color	Orange	Blouse	With Blouse	SLK-OR-001	5007	India	Warehouse A	A1-10-001	0	0	3	7	10	10
silk-orange-zari	Silk Saree - Orange with Zari	Size	Free Size	Color	Orange	Blouse	Without Blouse	SLK-OR-002	5007	India	Warehouse A	A1-10-002	0	0	2	6	8	8
cotton-teal-border	Cotton Saree - Teal with Border	Size	Free Size	Color	Teal	Blouse	With Blouse	COT-TL-001	5208	India	Warehouse B	B1-04-001	0	0	5	15	20	20
cotton-teal-border	Cotton Saree - Teal with Border	Size	Free Size	Color	Teal	Blouse	Without Blouse	COT-TL-002	5208	India	Warehouse B	B1-04-002	0	0	3	12	15	15
designer-peach	Designer Saree - Peach	Size	Free Size	Color	Peach	Blouse	With Blouse	DES-PC-001	5407	India	Warehouse A	A1-11-001	0	0	2	8	10	10
designer-peach	Designer Saree - Peach	Size	Free Size	Color	Peach	Blouse	Without Blouse	DES-PC-002	5407	India	Warehouse A	A1-11-002	0	0	1	4	5	5
silk-magenta-temple	Silk Saree - Magenta Temple Border	Size	Free Size	Color	Magenta	Blouse	With Blouse	SLK-MG-001	5007	India	Warehouse A	A1-12-001	0	0	4	11	15	15
silk-magenta-temple	Silk Saree - Magenta Temple Border	Size	Free Size	Color	Magenta	Blouse	Without Blouse	SLK-MG-002	5007	India	Warehouse A	A1-12-002	0	0	2	8	10	10
