Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option2 name,Option2 value,Option3 name,Option3 value,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Ishori Tussar Silk Kalamkari Block Print Saree with Village Motifs,tussar-silk-kalamkari,"Step into timeless elegance with Ishori's Tussar Silk Kalamkari Saree, where tradition meets modern grace. Woven from pure Tussar silk, this saree feels luxuriously soft on the skin and drapes beautifully with a natural sheen. Each piece is handcrafted by skilled artisans using authentic Kalamkari block printing, featuring exquisite village life motifs. The eco-friendly natural dyes and lightweight texture make it perfect for festivals, weddings, parties, and cultural gatherings.",Ishori,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Sarees,"tussar silk, kalamkari, handcrafted, eco-friendly, festive wear, traditional saree, ethnic wear",TRUE,active,TSK-KB-001,,Color,Natural Beige,Blouse,With Blouse,,,1499,,,TRUE,,,,,,,shopify,20,deny,800,g,TRUE,,https://cdn.shopify.com/s/files/1/0589/9583/4929/files/collection22.avif?v=1762935273,1,,,FALSE,Tussar Silk Kalamkari Block Print Saree - Handcrafted Village Motifs | Ishori,"Buy authentic Tussar silk Kalamkari saree online. Hand block printed with village motifs, eco-friendly natural dyes. Perfect for weddings, festivals. Free shipping across India.",Apparel & Accessories > Clothing,Female,Adult,TSK-KB-001,Ethnic Sarees,Traditional Silk Sarees,new,FALSE,Handcrafted,Eco-Friendly,Festive Wear,Premium Silk,Traditional
Ishori Tussar Silk Kalamkari Block Print Saree with Village Motifs,tussar-silk-kalamkari,,Ishori,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Sarees,"tussar silk, kalamkari, handcrafted, eco-friendly, festive wear, traditional saree, ethnic wear",TRUE,active,TSK-KB-002,,Color,Natural Beige,Blouse,Without Blouse,,,1499,,,TRUE,,,,,,,shopify,15,deny,800,g,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,
Ishori Royal Blue Silk Saree with Zari Work – Banarasi Style,royal-blue-silk-zari,"Drape yourself in royal elegance with Ishori's Royal Blue Silk Saree, beautifully woven in Banarasi-inspired zari work. Crafted from soft premium silk, this saree features golden floral motifs and a shimmering border that adds a touch of grandeur to every occasion. The rich royal blue tone paired with golden zari detailing makes it perfect for weddings, parties, and festive events.",Ishori,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Sarees,"banarasi silk, zari work, royal blue, wedding saree, festive wear, traditional saree, silk saree",TRUE,active,RBS-ZW-001,,Color,Royal Blue,Blouse,With Blouse,,,1499,,,TRUE,,,,,,,shopify,25,deny,850,g,TRUE,,https://cdn.shopify.com/s/files/1/0589/9583/4929/files/collection22.avif?v=1762935273,1,,,FALSE,Royal Blue Banarasi Silk Saree with Zari Work - Wedding & Festive Wear | Ishori,"Shop royal blue Banarasi silk saree with golden zari work online. Elegant wedding saree, lightweight and comfortable. Perfect for festive occasions. Buy now at Ishori.",Apparel & Accessories > Clothing,Female,Adult,RBS-ZW-001,Ethnic Sarees,Banarasi Silk Sarees,new,FALSE,Zari Work,Wedding Wear,Festive Collection,Premium Silk,Traditional
Ishori Royal Blue Silk Saree with Zari Work – Banarasi Style,royal-blue-silk-zari,,Ishori,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Sarees,"banarasi silk, zari work, royal blue, wedding saree, festive wear, traditional saree, silk saree",TRUE,active,RBS-ZW-002,,Color,Royal Blue,Blouse,Without Blouse,,,1499,,,TRUE,,,,,,,shopify,20,deny,850,g,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,
Ishori Pink Silk Saree with Zari Work and Embroidery – Banarasi Look,pink-silk-zari-embroidery,"Turn every occasion into a celebration with Ishori's Pink Silk Saree with Zari Work and Embroidery. Crafted in a rich rani pink silk fabric, this saree shines with golden zari weaving on the borders and throughout the drape, giving it a luxurious Banarasi-style elegance. Delicate tone-on-tone embroidery adds depth and texture, making this saree a perfect blend of traditional craftsmanship and modern grace.",Ishori,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Sarees,"pink silk saree, rani pink, banarasi, zari work, embroidered saree, wedding saree, festive wear",TRUE,active,PSK-ZE-001,,Color,Rani Pink,Blouse,With Blouse,,,1799,,,TRUE,,,,,,,shopify,30,deny,850,g,TRUE,,https://cdn.shopify.com/s/files/1/0589/9583/4929/files/collection22.avif?v=1762935273,1,,,FALSE,Rani Pink Banarasi Silk Saree with Zari & Embroidery - Designer Wedding Saree | Ishori,"Buy rani pink Banarasi silk saree with golden zari work and embroidery online. Elegant designer saree for weddings, parties, festivals. Shop luxury silk sarees at Ishori.",Apparel & Accessories > Clothing,Female,Adult,PSK-ZE-001,Ethnic Sarees,Embroidered Silk Sarees,new,FALSE,Embroidered,Zari Work,Wedding Collection,Premium Silk,Designer
Ishori Pink Silk Saree with Zari Work and Embroidery – Banarasi Look,pink-silk-zari-embroidery,,Ishori,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Sarees,"pink silk saree, rani pink, banarasi, zari work, embroidered saree, wedding saree, festive wear",TRUE,active,PSK-ZE-002,,Color,Rani Pink,Blouse,Without Blouse,,,1799,,,TRUE,,,,,,,shopify,25,deny,850,g,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,
Ishori Chiffon Handwork Saree with Aari Tari and Peacock Border,chiffon-handwork-peacock,"Experience the beauty of timeless craftsmanship with Ishori's Chiffon Handwork Saree, exquisitely designed with aari tari embroidery and a beautiful peacock-patterned border. Made from soft, lightweight chiffon, this saree flows effortlessly, giving you an elegant and graceful drape. The hand embroidery is crafted using vibrant multi-colored threads, adding intricate detail and rich texture across the saree.",Ishori,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Sarees,"chiffon saree, aari tari, peacock border, handwork saree, embroidered saree, wedding saree, festive wear",TRUE,active,CHF-AP-001,,Color,Deep Red,Blouse,With Blouse,,,1795,,,TRUE,,,,,,,shopify,20,deny,600,g,TRUE,,https://cdn.shopify.com/s/files/1/0589/9583/4929/files/collection22.avif?v=1762935273,1,,,FALSE,Chiffon Handwork Saree with Aari Tari & Peacock Border - Designer Wedding Saree | Ishori,"Shop handcrafted chiffon saree with aari tari embroidery and peacock border online. Lightweight, elegant designer saree for weddings and festivals. Buy at Ishori.",Apparel & Accessories > Clothing,Female,Adult,CHF-AP-001,Ethnic Sarees,Embroidered Chiffon Sarees,new,FALSE,Handcrafted,Aari Tari Work,Wedding Collection,Designer Saree,Lightweight
Ishori Chiffon Handwork Saree with Aari Tari and Peacock Border,chiffon-handwork-peacock,,Ishori,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Sarees,"chiffon saree, aari tari, peacock border, handwork saree, embroidered saree, wedding saree, festive wear",TRUE,active,CHF-AP-002,,Color,Deep Red,Blouse,Without Blouse,,,1795,,,TRUE,,,,,,,shopify,15,deny,600,g,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,
Ishori Green Bandhani Georgette Saree with Handwork Border,green-bandhani-georgette,"Celebrate timeless tradition with a modern touch in Ishori's Green Bandhani Georgette Saree. Made from lightweight, flowy georgette fabric, this saree drapes effortlessly and feels soft against the skin. Adorned with authentic Bandhani tie-dye patterns, it beautifully captures India's rich textile heritage. The highlight of this saree is its hand-embroidered border, featuring delicate craftsmanship that adds shimmer and sophistication.",Ishori,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Sarees,"bandhani saree, georgette saree, green saree, handwork border, traditional saree, festive wear, tie-dye saree",TRUE,active,GBG-HB-001,,Color,Emerald Green,Blouse,With Blouse,,,2099,,,TRUE,,,,,,,shopify,25,deny,550,g,TRUE,,https://cdn.shopify.com/s/files/1/0589/9583/4929/files/collection22.avif?v=1762935273,1,,,FALSE,Green Bandhani Georgette Saree with Handwork Border - Traditional Festive Wear | Ishori,"Buy authentic Bandhani georgette saree online. Emerald green with hand-embroidered gold border. Lightweight, comfortable for weddings and festivals. Shop at Ishori.",Apparel & Accessories > Clothing,Female,Adult,GBG-HB-001,Ethnic Sarees,Bandhani Sarees,new,FALSE,Bandhani,Handwork Border,Festive Collection,Georgette Saree,Traditional
Ishori Green Bandhani Georgette Saree with Handwork Border,green-bandhani-georgette,,Ishori,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing,Sarees,"bandhani saree, georgette saree, green saree, handwork border, traditional saree, festive wear, tie-dye saree",TRUE,active,GBG-HB-002,,Color,Emerald Green,Blouse,Without Blouse,,,2099,,,TRUE,,,,,,,shopify,20,deny,550,g,TRUE,,,,,FALSE,,,,,,,,,,,,,,,,
